學校代碼,學校名稱,日間∕進修別,等級別,學生數,縣市名稱
0001,國立政治大學,D 日,Doctor,981,30 臺北市
0001,國立政治大學,D 日,Master,3962,30 臺北市
0001,國立政治大學,D 日,Bachelor,9711,30 臺北市
0001,國立政治大學,N 職,Master,1718,30 臺北市
0002,國立清華大學,D 日,Doctor,1645,18 新竹市
0002,國立清華大學,D 日,Master,4028,18 新竹市
0002,國立清華大學,D 日,Bachelor,6369,18 新竹市
0002,國立清華大學,N 職,Master,424,18 新竹市
0003,國立臺灣大學,D 日,Doctor,3813,30 臺北市
0003,國立臺灣大學,D 日,Master,10154,30 臺北市
0003,國立臺灣大學,D 日,Bachelor,16499,30 臺北市
0003,國立臺灣大學,N 職,Master,1317,30 臺北市
0004,國立臺灣師範大學,D 日,Doctor,1366,30 臺北市
0004,國立臺灣師範大學,D 日,Master,3926,30 臺北市
0004,國立臺灣師範大學,D 日,Bachelor,8028,30 臺北市
0004,國立臺灣師範大學,N 職,Master,1987,30 臺北市
0005,國立成功大學,D 日,Doctor,1939,21 臺南市
0005,國立成功大學,D 日,Master,6448,21 臺南市
0005,國立成功大學,D 日,Bachelor,11453,21 臺南市
0005,國立成功大學,N 職,Master,1279,21 臺南市
0006,國立中興大學,D 日,Doctor,1028,19 臺中市
0006,國立中興大學,D 日,Master,3322,19 臺中市
0006,國立中興大學,D 日,Bachelor,8089,19 臺中市
0006,國立中興大學,N 職,Master,1541,19 臺中市
0006,國立中興大學,P 進,Bachelor,1067,19 臺中市
0007,國立交通大學,D 日,Doctor,1745,18 新竹市
0007,國立交通大學,D 日,Master,5397,18 新竹市
0007,國立交通大學,D 日,Bachelor,5478,18 新竹市
0007,國立交通大學,N 職,Master,1463,18 新竹市
0008,國立中央大學,D 日,Doctor,1073,03 桃園市
0008,國立中央大學,D 日,Master,3438,03 桃園市
0008,國立中央大學,D 日,Bachelor,6107,03 桃園市
0008,國立中央大學,N 職,Master,1325,03 桃園市
0009,國立中山大學,D 日,Doctor,829,50 高雄市
0009,國立中山大學,D 日,Master,2916,50 高雄市
0009,國立中山大學,D 日,Bachelor,4756,50 高雄市
0009,國立中山大學,N 職,Master,916,50 高雄市
0012,國立臺灣海洋大學,D 日,Doctor,296,17 基隆市
0012,國立臺灣海洋大學,D 日,Master,1423,17 基隆市
0012,國立臺灣海洋大學,D 日,Bachelor,5672,17 基隆市
0012,國立臺灣海洋大學,N 職,Master,615,17 基隆市
0012,國立臺灣海洋大學,N 修,others,176,17 基隆市
0012,國立臺灣海洋大學,P 進,Bachelor,525,17 基隆市
0013,國立中正大學,D 日,Doctor,570,10 嘉義縣
0013,國立中正大學,D 日,Master,2796,10 嘉義縣
0013,國立中正大學,D 日,Bachelor,6672,10 嘉義縣
0013,國立中正大學,N 職,Master,1497,10 嘉義縣
0014,國立高雄師範大學,D 日,Doctor,467,50 高雄市
0014,國立高雄師範大學,D 日,Master,1363,50 高雄市
0014,國立高雄師範大學,D 日,Bachelor,3525,50 高雄市
0014,國立高雄師範大學,N 職,Master,1253,50 高雄市
0015,國立彰化師範大學,D 日,Doctor,482,07 彰化縣
0015,國立彰化師範大學,D 日,Master,1548,07 彰化縣
0015,國立彰化師範大學,D 日,Bachelor,4864,07 彰化縣
0015,國立彰化師範大學,N 職,Master,1298,07 彰化縣
0016,國立陽明大學,D 日,Doctor,930,30 臺北市
0016,國立陽明大學,D 日,Master,1148,30 臺北市
0016,國立陽明大學,D 日,Bachelor,2121,30 臺北市
0016,國立陽明大學,N 職,Master,136,30 臺北市
0017,國立臺北大學,D 日,Doctor,192,01 新北市
0017,國立臺北大學,D 日,Master,1324,01 新北市
0017,國立臺北大學,D 日,Bachelor,5878,01 新北市
0017,國立臺北大學,N 職,Master,470,01 新北市
0017,國立臺北大學,N 修,others,1,01 新北市
0017,國立臺北大學,P 進,Bachelor,1902,01 新北市
0018,國立嘉義大學,D 日,Doctor,191,20 嘉義市
0018,國立嘉義大學,D 日,Master,1442,20 嘉義市
0018,國立嘉義大學,D 日,Bachelor,7840,20 嘉義市
0018,國立嘉義大學,N 職,Master,971,20 嘉義市
0018,國立嘉義大學,P 進,Bachelor,2101,20 嘉義市
0019,國立高雄大學,D 日,Doctor,22,50 高雄市
0019,國立高雄大學,D 日,Master,639,50 高雄市
0019,國立高雄大學,D 日,Bachelor,4243,50 高雄市
0019,國立高雄大學,N 職,Master,442,50 高雄市
0019,國立高雄大學,N 修,2 Bachelor,165,50 高雄市
0020,國立東華大學,D 日,Doctor,358,15 花蓮縣
0020,國立東華大學,D 日,Master,1673,15 花蓮縣
0020,國立東華大學,D 日,Bachelor,7597,15 花蓮縣
0020,國立東華大學,N 職,Master,617,15 花蓮縣
0021,國立暨南國際大學,D 日,Doctor,347,08 南投縣
0021,國立暨南國際大學,D 日,Master,987,08 南投縣
0021,國立暨南國際大學,D 日,Bachelor,4572,08 南投縣
0021,國立暨南國際大學,N 職,Master,447,08 南投縣
0022,國立臺灣科技大學,D 日,Doctor,977,30 臺北市
0022,國立臺灣科技大學,D 日,Master,3352,30 臺北市
0022,國立臺灣科技大學,D 日,4 Bachelor,5493,30 臺北市
0022,國立臺灣科技大學,D 日,2 Bachelor,124,30 臺北市
0022,國立臺灣科技大學,D 日,others,1,30 臺北市
0022,國立臺灣科技大學,N 職,Doctor,13,30 臺北市
0022,國立臺灣科技大學,N 職,Master,744,30 臺北市
0022,國立臺灣科技大學,N 修,2 Bachelor,25,30 臺北市
0023,國立雲林科技大學,D 日,Doctor,451,09 雲林縣
0023,國立雲林科技大學,D 日,Master,2023,09 雲林縣
0023,國立雲林科技大學,D 日,4 Bachelor,6282,09 雲林縣
0023,國立雲林科技大學,D 日,2 Bachelor,229,09 雲林縣
0023,國立雲林科技大學,N 職,Master,767,09 雲林縣
0024,國立屏東科技大學,D 日,Doctor,255,13 屏東縣
0024,國立屏東科技大學,D 日,Master,1230,13 屏東縣
0024,國立屏東科技大學,D 日,4 Bachelor,7818,13 屏東縣
0024,國立屏東科技大學,D 日,2 Bachelor,7,13 屏東縣
0024,國立屏東科技大學,N 職,Master,471,13 屏東縣
