學校名稱,學校代碼,縣市名稱,103,104,105,106,103Rate,104Rate,105Rate,106Rate
中華大學,1011,18 新竹市,8698,8473,7753,6722,78.85,84.14,64.33,61.27
大葉大學,1012,07 彰化縣,11649,11891,11768,11147,90.63,89.88,81.65,62.37
華梵大學,1013,01 新北市,3475,3242,2746,2320,68.63,61.4,43.5,47.9
義守大學,1014,12 高雄市,16556,16666,16373,16209,86.94,79.43,75.95,83.49
世新大學,1015,30 臺北市,11889,11850,11812,11723,85.86,78.58,81.5,86.71
銘傳大學,1016,30 臺北市,19280,19413,19349,19129,83.59,84.48,88.32,84.88
實踐大學,1017,30 臺北市,15578,15616,15460,14579,92.53,90.71,89.22,81.17
朝陽科技大學,1018,06 臺中市,16570,16349,16141,15792,80.88,85.14,83.84,78.24
高雄醫學大學,1019,50 高雄市,6981,6894,6896,6881,76.1,78.64,82.61,88.89
南華大學,1020,10 嘉義縣,5302,5555,5593,5600,83.85,92.37,85.07,89.32
真理大學,1021,01 新北市,8867,8519,7722,6773,76.53,77.29,77.25,61.25
大同大學,1022,30 臺北市,4710,4692,4667,4497,64.44,74.19,72.21,72.27
南臺科技大學,1023,11 臺南市,19442,19320,19135,18855,73.6,77.36,78.4,73.16
崑山科技大學,1024,11 臺南市,12739,12636,12487,12174,77.33,74.65,68.14,65.2
嘉南藥理大學,1025,11 臺南市,17020,16971,16286,15702,85.07,77.28,72.05,61.01
樹德科技大學,1026,12 高雄市,11400,11347,10957,10699,79.59,87.59,81.56,78.91
慈濟大學,1027,15 花蓮縣,3330,3420,3460,3460,66.82,80.77,78.92,72.17
臺北醫學大學,1028,30 臺北市,5929,5895,5973,6112,90.62,90.87,90.74,89.02
中山醫學大學,1029,19 臺中市,7566,7504,7385,7237,87.5,86.43,88.06,85.81
龍華科技大學,1030,03 桃園市,11254,11168,11105,11086,82.54,87.06,90.75,88.24
輔英科技大學,1031,12 高雄市,9766,9579,9354,9306,74.88,76.46,79.79,83.09
明新科技大學,1032,04 新竹縣,13467,13375,12804,12319,78.42,84.36,83.28,66.89
長榮大學,1033,11 臺南市,10474,10594,10284,9680,80.88,78.91,72.06,61.87
弘光科技大學,1034,06 臺中市,12836,13006,13100,12959,80.67,89.31,91.9,87.01
中國醫藥大學,1035,19 臺中市,7370,7366,7410,7468,81.54,78.73,84.49,83.86
健行科技大學,1036,03 桃園市,12629,12101,10984,10765,78.27,82.28,70.4,69.56
正修科技大學,1037,12 高雄市,17518,17261,17227,16903,83.61,89.45,90.18,86.64
萬能科技大學,1038,03 桃園市,10918,11047,10876,10472,76.49,65.93,68.96,75.7
玄奘大學,1039,18 新竹市,6138,5859,5158,4367,74.22,69.92,64.77,49.63
建國科技大學,1040,07 彰化縣,9474,9009,8572,7839,77.1,70.46,69.55,58.73
明志科技大學,1041,01 新北市,4465,4532,4586,4561,72.39,85.02,81.37,86.67
高苑科技大學,1042,12 高雄市,7723,7524,6809,5587,61.74,69.92,55.2,49.15
大仁科技大學,1043,13 屏東縣,7757,7468,6909,6615,57.43,68.06,65.83,56.43
聖約翰科技大學,1044,01 新北市,5925,5258,4676,3967,51.16,58.73,67.37,58.38
嶺東科技大學,1045,19 臺中市,10584,10399,10389,10312,86.4,89.51,91.85,83.65
中國科技大學,1046,30 臺北市,12062,12245,11888,10969,75.94,82.56,74.18,74.5
中臺科技大學,1047,19 臺中市,9798,9531,9439,9007,73.3,80.38,84.22,73.71
亞洲大學,1048,06 臺中市,12271,12433,12288,12123,90.32,91.69,91.27,87.74
開南大學,1049,03 桃園市,9742,9514,8265,7330,80.76,81.14,63.33,57.72
佛光大學,1050,02 宜蘭縣,3752,3941,3983,3822,83.57,83.25,80.06,79.47
台南應用科技大學,1051,11 臺南市,12835,12947,12911,12733,85.63,81.96,80.99,81.96
遠東科技大學,1052,11 臺南市,8810,8123,7345,6247,64.46,57.6,53.67,56.59
元培醫事科技大學,1053,18 新竹市,7381,7012,6774,6437,70.4,72.23,65.8,71.91
景文科技大學,1054,01 新北市,8363,8112,7697,7299,82.7,80.68,70.94,71
中華醫事科技大學,1055,11 臺南市,9148,9429,9526,9240,66.53,80.54,81.8,75.48
東南科技大學,1056,01 新北市,7552,7484,6911,6241,73.89,64.9,61.79,69.51
德明財經科技大學,1057,30 臺北市,9181,9226,8954,8420,72.09,89.33,86.1,74.39
明道大學,1058,07 彰化縣,5675,5571,4968,4469,69.76,70.53,60.97,55.92
康寧大學,1059,21 臺南市,5232,5412,5262,4968,71.8,69.16,72.59,75.02
南開科技大學,1060,08 南投縣,6346,6319,5838,5217,64.07,71.6,56.24,59.61
中華科技大學,1061,30 臺北市,8512,8086,7426,6538,65.01,69.85,69.57,63.8
僑光科技大學,1062,19 臺中市,10846,10486,10657,10856,91.74,93.79,89.76,87.57
育達科技大學,1063,05 苗栗縣,6111,5465,4917,4582,55.56,57.32,48.71,62.29
美和科技大學,1064,13 屏東縣,8097,8069,7842,7466,78.87,79.06,75.16,64.77
吳鳳科技大學,1065,10 嘉義縣,5622,5456,5134,4709,41.59,61.25,65.25,58.62
環球科技大學,1066,09 雲林縣,6358,6416,5886,5295,69.59,66.35,58.96,68.52
台灣首府大學,1067,11 臺南市,4610,4094,3305,2730,74.92,61.95,57.12,57.32
中州科技大學,1068,07 彰化縣,5074,4395,3922,3473,59.34,66.95,48,33.49
修平科技大學,1069,06 臺中市,6632,6396,5992,5211,69.85,73.88,64.44,50.17
長庚科技大學,1070,03 桃園市,7595,7371,7070,6712,93.33,93.25,92.21,95.46
臺北城市科技大學,1071,30 臺北市,9832,10018,9933,9677,84.33,92.37,87.76,80.93
大華科技大學,1072,04 新竹縣,4264,4150,3591,2940,28.04,45.37,57.85,58.38
醒吾科技大學,1073,01 新北市,8803,8685,8284,8198,74.35,78.64,64.3,67.88
南榮科技大學,1074,11 臺南市,3598,3889,2904,2211,38.88,57.5,26.59,24.17
文藻外語大學,1075,50 高雄市,9263,9371,9448,9419,87.59,89.76,94.67,85.02
華夏科技大學,1076,01 新北市,5318,5183,4926,4799,67.64,77.95,70.45,64.3
慈濟科技大學,1077,15 花蓮縣,2711,2743,2924,2947,80.82,79.56,89.42,80.52
致理科技大學,1078,01 新北市,11751,11736,11804,11624,85.07,95.4,96.72,94.19
宏國德霖科技大學,1080,01 新北市,7582,7436,7257,6568,63.24,74.42,65.2,57.37
東方設計大學,1081,12 高雄市,3973,3857,3596,3192,43.49,63.13,79.47,63.51
崇右影藝科技大學,1082,17 基隆市,3218,3258,2912,2685,51.79,67.22,62.56,65.96
台北海洋科技大學,1083,01 新北市,6416,6490,5914,5330,0,74.63,66.14,66.91
中信金融管理學院,1125,21 臺南市,474,206,331,485,17.43,100,100,100
大漢技術學院,1148,15 花蓮縣,2022,1720,1497,1305,32.56,49.33,53.02,65.46
和春技術學院,1159,12 高雄市,2918,3312,3387,2475,18.17,30.78,58.56,22.34
亞東技術學院,1166,01 新北市,5263,4917,4685,4484,79.9,93.33,89.63,87.73
南亞技術學院,1168,03 桃園市,6080,5186,4440,3542,55.11,47.17,52.3,40.53
稻江科技暨管理學院,1176,10 嘉義縣,2719,2381,2186,2267,79.49,68.88,86.33,88.04
蘭陽技術學院,1182,02 宜蘭縣,2108,1699,1463,1058,21.84,43.97,72.27,39.99
黎明技術學院,1183,01 新北市,4602,4671,4709,4576,61.77,65.52,66.11,66.26
經國管理暨健康學院,1185,17 基隆市,4104,4210,4122,3874,71.29,76.6,73.76,66.55
大同技術學院,1188,20 嘉義市,2913,2648,2434,2112,36.69,59.71,69.45,64.29
亞太創意技術學院,1189,05 苗栗縣,1802,1490,1410,894,22.42,48.03,56.36,39.22
臺灣觀光學院,1192,15 花蓮縣,1759,1553,1300,896,37.62,44.1,45.04,17.29
馬偕醫學院,1195,01 新北市,530,640,648,666,75.77,91.17,93.33,90.22
法鼓文理學院,1196,01 新北市,126,179,238,267,0,67.98,82.36,77.89
馬偕醫護管理專科學校,1282,30 臺北市,4160,4316,4330,4381,90.03,94.88,96.5,95.02
仁德醫護管理專科學校,1283,05 苗栗縣,6455,6503,6630,6601,78.41,96.16,98.77,77.79
樹人醫護管理專科學校,1284,12 高雄市,6848,7031,7110,7097,81.52,99.31,99.7,96.31
慈惠醫護管理專科學校,1285,13 屏東縣,6490,6345,6203,5556,72.11,77.87,71.17,58.59
耕莘健康管理專科學校,1286,01 新北市,4986,5052,5257,5217,82.38,89.22,93.94,83.29
敏惠醫護管理專科學校,1287,11 臺南市,3875,3819,3897,3858,74.89,77.25,81.46,80.05
高美醫護管理專科學校,1288,12 高雄市,850,852,771,590,42.6,72.92,81.9,37.12
育英醫護管理專科學校,1289,50 高雄市,2010,2009,1962,1969,94.36,100,100,95.73
崇仁醫護管理專科學校,1290,20 嘉義市,3257,3387,3478,3503,88.14,98.17,99.81,100
聖母醫護管理專科學校,1291,02 宜蘭縣,3702,3597,3525,3155,82.54,92.37,89.87,54.2
新生醫護管理專科學校,1292,03 桃園市,5855,6036,6022,6024,74.01,99.5,99.48,98.61
臺北市立大學,3002,30 臺北市,7426,7573,7631,7675,93.74,94.54,91.69,92.73
