學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
一般,公立,國立政治大學,D 日,Bachelor,97.9
一般,公立,國立政治大學,D 日,Doctor,62.85
一般,公立,國立政治大學,D 日,Master,86.97
一般,公立,國立清華大學,D 日,Bachelor,96.81
一般,公立,國立清華大學,D 日,Doctor,69.73
一般,公立,國立清華大學,D 日,Master,86.49
一般,公立,國立臺灣大學,D 日,Bachelor,95.57
一般,公立,國立臺灣大學,D 日,Doctor,64.0
一般,公立,國立臺灣大學,D 日,Master,94.25
一般,公立,國立臺灣師範大學,D 日,Bachelor,97.68
一般,公立,國立臺灣師範大學,D 日,Doctor,83.74
一般,公立,國立臺灣師範大學,D 日,Master,87.95
一般,公立,國立成功大學,D 日,Bachelor,94.66
一般,公立,國立成功大學,D 日,Doctor,62.8
一般,公立,國立成功大學,D 日,Master,91.75
一般,公立,國立中興大學,D 日,Bachelor,97.23
一般,公立,國立中興大學,D 日,Doctor,54.55
一般,公立,國立中興大學,D 日,Master,87.62
一般,公立,國立交通大學,D 日,Bachelor,96.29
一般,公立,國立交通大學,D 日,Doctor,64.67
一般,公立,國立交通大學,D 日,Master,91.32
一般,公立,國立中央大學,D 日,Bachelor,95.64
一般,公立,國立中央大學,D 日,Doctor,57.08
一般,公立,國立中央大學,D 日,Master,88.19
一般,公立,國立中山大學,D 日,Bachelor,95.84
一般,公立,國立中山大學,D 日,Doctor,64.82
一般,公立,國立中山大學,D 日,Master,85.93
一般,公立,國立臺灣海洋大學,D 日,Bachelor,96.18
一般,公立,國立臺灣海洋大學,D 日,Doctor,71.75
一般,公立,國立臺灣海洋大學,D 日,Master,83.66
一般,公立,國立中正大學,D 日,Bachelor,95.97
一般,公立,國立中正大學,D 日,Doctor,74.52
一般,公立,國立中正大學,D 日,Master,77.09
一般,公立,國立高雄師範大學,D 日,Bachelor,95.76
一般,公立,國立高雄師範大學,D 日,Doctor,88.03
一般,公立,國立高雄師範大學,D 日,Master,89.93
一般,公立,國立彰化師範大學,D 日,Bachelor,96.9
一般,公立,國立彰化師範大學,D 日,Doctor,75.78
一般,公立,國立彰化師範大學,D 日,Master,84.22
一般,公立,國立陽明大學,D 日,Bachelor,91.23
一般,公立,國立陽明大學,D 日,Doctor,64.94
一般,公立,國立陽明大學,D 日,Master,84.88
一般,公立,國立臺北大學,D 日,Bachelor,96.69
一般,公立,國立臺北大學,D 日,Doctor,69.26
一般,公立,國立臺北大學,D 日,Master,88.71
一般,公立,國立嘉義大學,D 日,Bachelor,95.89
一般,公立,國立嘉義大學,D 日,Doctor,95.24
一般,公立,國立嘉義大學,D 日,Master,72.29
一般,公立,國立高雄大學,D 日,Bachelor,94.95
一般,公立,國立高雄大學,D 日,Doctor,75.0
一般,公立,國立高雄大學,D 日,Master,84.22
一般,公立,國立東華大學,D 日,Bachelor,95.47
一般,公立,國立東華大學,D 日,Doctor,77.08
一般,公立,國立東華大學,D 日,Master,79.19
一般,公立,國立暨南國際大學,D 日,Bachelor,95.6
一般,公立,國立暨南國際大學,D 日,Doctor,60.83
一般,公立,國立暨南國際大學,D 日,Master,66.48
技職,公立,國立臺灣科技大學,D 日,4 Bachelor,100.0
技職,公立,國立臺灣科技大學,D 日,2 Bachelor,100.0
技職,公立,國立臺灣科技大學,D 日,Doctor,64.85
技職,公立,國立臺灣科技大學,D 日,Master,92.03
技職,公立,國立雲林科技大學,D 日,4 Bachelor,99.61
技職,公立,國立雲林科技大學,D 日,2 Bachelor,82.34
技職,公立,國立雲林科技大學,D 日,Doctor,63.52
技職,公立,國立雲林科技大學,D 日,Master,88.57
技職,公立,國立屏東科技大學,D 日,4 Bachelor,97.31
技職,公立,國立屏東科技大學,D 日,Doctor,83.27
技職,公立,國立屏東科技大學,D 日,Master,61.44
技職,公立,國立臺北科技大學,D 日,4 Bachelor,99.85
技職,公立,國立臺北科技大學,D 日,Doctor,70.62
技職,公立,國立臺北科技大學,D 日,Master,95.33
技職,公立,國立高雄第一科技大學,D 日,4 Bachelor,99.4
技職,公立,國立高雄第一科技大學,D 日,2 Bachelor,96.91
技職,公立,國立高雄第一科技大學,D 日,Doctor,100.0
技職,公立,國立高雄第一科技大學,D 日,Master,88.76
技職,公立,國立高雄應用科技大學,D 日,4 Bachelor,99.12
技職,公立,國立高雄應用科技大學,D 日,2 Bachelor,70.66
技職,公立,國立高雄應用科技大學,D 日,Doctor,91.07
技職,公立,國立高雄應用科技大學,D 日,Master,90.01
一般,公立,國立臺北藝術大學,D 日,Bachelor,97.78
一般,公立,國立臺北藝術大學,D 日,Doctor,92.5
一般,公立,國立臺北藝術大學,D 日,Master,89.7
一般,公立,國立臺灣藝術大學,D 日,Bachelor,97.6
一般,公立,國立臺灣藝術大學,D 日,Doctor,100.0
一般,公立,國立臺灣藝術大學,D 日,Master,94.98
一般,公立,國立臺東大學,D 日,Bachelor,92.09
一般,公立,國立臺東大學,D 日,Doctor,100.0
一般,公立,國立臺東大學,D 日,Master,74.18
一般,公立,國立宜蘭大學,D 日,Bachelor,94.12
一般,公立,國立宜蘭大學,D 日,Doctor,100.0
一般,公立,國立宜蘭大學,D 日,Master,80.11
一般,公立,國立聯合大學,D 日,Bachelor,94.15
一般,公立,國立聯合大學,D 日,Doctor,100.0
一般,公立,國立聯合大學,D 日,Master,73.92
技職,公立,國立虎尾科技大學,D 日,4 Bachelor,98.16
技職,公立,國立虎尾科技大學,D 日,2 Bachelor,62.82
技職,公立,國立虎尾科技大學,D 日,Doctor,42.86
技職,公立,國立虎尾科技大學,D 日,Master,65.15
技職,公立,國立高雄海洋科技大學,D 日,5 Associate,93.0
技職,公立,國立高雄海洋科技大學,D 日,4 Bachelor,97.52
技職,公立,國立高雄海洋科技大學,D 日,2 Bachelor,47.38
技職,公立,國立高雄海洋科技大學,D 日,Doctor,100.0
技職,公立,國立高雄海洋科技大學,D 日,Master,77.66
