學校代碼,學校名稱,日間∕進修別,等級別,學生數,縣市名稱
0001,國立政治大學,D 日,Doctor,973,30 臺北市
0001,國立政治大學,D 日,Master,3816,30 臺北市
0001,國立政治大學,D 日,Bachelor,9639,30 臺北市
0001,國立政治大學,N 職,Master,1625,30 臺北市
0002,國立清華大學,D 日,Doctor,1786,18 新竹市
0002,國立清華大學,D 日,Master,3920,18 新竹市
0002,國立清華大學,D 日,Bachelor,6280,18 新竹市
0002,國立清華大學,N 職,Master,305,18 新竹市
0003,國立臺灣大學,D 日,Doctor,4265,30 臺北市
0003,國立臺灣大學,D 日,Master,9852,30 臺北市
0003,國立臺灣大學,D 日,Bachelor,16505,30 臺北市
0003,國立臺灣大學,N 職,Master,1160,30 臺北市
0003,國立臺灣大學,P 進,Bachelor,9,30 臺北市
0004,國立臺灣師範大學,D 日,Doctor,1352,30 臺北市
0004,國立臺灣師範大學,D 日,Master,3939,30 臺北市
0004,國立臺灣師範大學,D 日,Bachelor,7865,30 臺北市
0004,國立臺灣師範大學,N 職,Master,1502,30 臺北市
0004,國立臺灣師範大學,S 暑,Master,382,30 臺北市
0005,國立成功大學,D 日,Doctor,2495,21 臺南市
0005,國立成功大學,D 日,Master,6500,21 臺南市
0005,國立成功大學,D 日,Bachelor,11436,21 臺南市
0005,國立成功大學,N 職,Master,1267,21 臺南市
0006,國立中興大學,D 日,Doctor,1215,19 臺中市
0006,國立中興大學,D 日,Master,3362,19 臺中市
0006,國立中興大學,D 日,Bachelor,8074,19 臺中市
0006,國立中興大學,D 日,others,9,19 臺中市
0006,國立中興大學,N 職,Master,1644,19 臺中市
0006,國立中興大學,P 進,Bachelor,1046,19 臺中市
0007,國立交通大學,D 日,Doctor,1965,18 新竹市
0007,國立交通大學,D 日,Master,5242,18 新竹市
0007,國立交通大學,D 日,Bachelor,5432,18 新竹市
0007,國立交通大學,N 職,Master,1502,18 新竹市
0008,國立中央大學,D 日,Doctor,1175,03 桃園縣
0008,國立中央大學,D 日,Master,3264,03 桃園縣
0008,國立中央大學,D 日,Bachelor,6098,03 桃園縣
0008,國立中央大學,N 職,Master,1327,03 桃園縣
0009,國立中山大學,D 日,Doctor,908,50 高雄市
0009,國立中山大學,D 日,Master,2923,50 高雄市
0009,國立中山大學,D 日,Bachelor,4655,50 高雄市
