學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
一般,公立,國立政治大學,D 日,Bachelor,96.91
一般,公立,國立政治大學,D 日,Doctor,66.26
一般,公立,國立政治大學,D 日,Master,93.38
一般,公立,國立政治大學,N 職,Master,95.78
一般,公立,國立清華大學,D 日,Bachelor,95.72
一般,公立,國立清華大學,D 日,Doctor,81.93
一般,公立,國立清華大學,D 日,Master,94.00
一般,公立,國立清華大學,N 職,Master,99.20
一般,公立,國立臺灣大學,D 日,Bachelor,96.07
一般,公立,國立臺灣大學,D 日,Doctor,73.00
一般,公立,國立臺灣大學,D 日,Master,96.31
一般,公立,國立臺灣大學,N 職,Master,97.03
一般,公立,國立臺灣師範大學,D 日,Bachelor,98.18
一般,公立,國立臺灣師範大學,D 日,Doctor,88.89
一般,公立,國立臺灣師範大學,D 日,Master,87.78
一般,公立,國立臺灣師範大學,N 職,Master,91.25
一般,公立,國立成功大學,D 日,Bachelor,95.35
一般,公立,國立成功大學,D 日,Doctor,63.00
一般,公立,國立成功大學,D 日,Master,95.28
一般,公立,國立成功大學,N 職,Master,94.40
一般,公立,國立中興大學,D 日,Bachelor,95.95
一般,公立,國立中興大學,D 日,Doctor,74.49
一般,公立,國立中興大學,D 日,Master,90.74
一般,公立,國立中興大學,N 職,Master,93.52
一般,公立,國立中興大學,P 進,Bachelor,97.73
一般,公立,國立交通大學,D 日,Bachelor,95.87
一般,公立,國立交通大學,D 日,Doctor,72.38
一般,公立,國立交通大學,D 日,Master,96.89
一般,公立,國立交通大學,N 職,Master,98.50
一般,公立,國立中央大學,D 日,Bachelor,97.00
一般,公立,國立中央大學,D 日,Doctor,83.89
一般,公立,國立中央大學,D 日,Master,92.95
一般,公立,國立中央大學,N 職,Master,86.83
一般,公立,國立中山大學,D 日,Bachelor,95.14
一般,公立,國立中山大學,D 日,Doctor,80.58
一般,公立,國立中山大學,D 日,Master,84.51
一般,公立,國立中山大學,N 職,Master,91.47
一般,公立,國立臺灣海洋大學,D 日,Bachelor,96.38
一般,公立,國立臺灣海洋大學,D 日,Doctor,93.75
一般,公立,國立臺灣海洋大學,D 日,Master,77.35
一般,公立,國立臺灣海洋大學,N 職,Master,68.60
