學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
技職,公立,國立高雄應用科技大學,N 職,Master,96.20
技職,公立,國立高雄應用科技大學,N 修,others,97.56
一般,公立,國立臺北藝術大學,D 日,Bachelor,96.32
一般,公立,國立臺北藝術大學,D 日,Doctor,84.21
一般,公立,國立臺北藝術大學,D 日,Master,92.51
一般,公立,國立臺北藝術大學,N 職,Master,98.31
一般,公立,國立臺灣藝術大學,D 日,Bachelor,98.79
一般,公立,國立臺灣藝術大學,D 日,Doctor,94.12
一般,公立,國立臺灣藝術大學,D 日,Master,99.53
一般,公立,國立臺灣藝術大學,N 職,Master,100.00
一般,公立,國立臺灣藝術大學,P 進,Bachelor,95.01
一般,公立,國立臺灣藝術大學,V 職,others,100.00
一般,公立,國立臺東大學,D 日,Bachelor,92.43
一般,公立,國立臺東大學,D 日,Doctor,100.00
一般,公立,國立臺東大學,D 日,Master,71.05
一般,公立,國立臺東大學,N 職,Master,67.10
一般,公立,國立臺東大學,P 進,Bachelor,41.90
一般,公立,國立宜蘭大學,D 日,Bachelor,95.71
一般,公立,國立宜蘭大學,D 日,Doctor,100.00
一般,公立,國立宜蘭大學,D 日,Master,86.97
一般,公立,國立宜蘭大學,N 職,Master,96.23
一般,公立,國立宜蘭大學,P 進,Bachelor,81.82
一般,公立,國立聯合大學,D 日,Bachelor,94.24
一般,公立,國立聯合大學,D 日,Doctor,100.00
一般,公立,國立聯合大學,D 日,Master,76.65
一般,公立,國立聯合大學,P 進,Bachelor,83.06
技職,公立,國立虎尾科技大學,D 日,4 Bachelor,96.61
技職,公立,國立虎尾科技大學,D 日,2 Bachelor,67.89
技職,公立,國立虎尾科技大學,D 日,Doctor,50.00
技職,公立,國立虎尾科技大學,D 日,Master,73.77
技職,公立,國立虎尾科技大學,N 修,4 Bachelor,88.93
技職,公立,國立虎尾科技大學,N 修,2 Bachelor,87.50
技職,公立,國立虎尾科技大學,N 職,Master,58.54
技職,公立,國立虎尾科技大學,N 修,others,50.00
技職,公立,國立高雄海洋科技大學,D 日,5 Associate,98.00
技職,公立,國立高雄海洋科技大學,D 日,4 Bachelor,96.98
技職,公立,國立高雄海洋科技大學,D 日,2 Bachelor,60.00
技職,公立,國立高雄海洋科技大學,D 日,Doctor,100.00
技職,公立,國立高雄海洋科技大學,D 日,Master,70.73
技職,公立,國立高雄海洋科技大學,N 修,4 Bachelor,90.61
技職,公立,國立高雄海洋科技大學,N 職,Master,76.00
一般,公立,國立臺南藝術大學,D 日,Bachelor,98.00
一般,公立,國立臺南藝術大學,D 日,Doctor,100.00
一般,公立,國立臺南藝術大學,D 日,Master,88.08
一般,公立,國立臺南藝術大學,N 職,Master,70.00
一般,公立,國立臺南大學,D 日,Bachelor,95.25
一般,公立,國立臺南大學,D 日,Doctor,100.00
一般,公立,國立臺南大學,D 日,Master,80.55
一般,公立,國立臺南大學,N 職,Master,91.35
一般,公立,國立臺南大學,P 進,Bachelor,36.11
一般,公立,國立臺北教育大學,D 日,Bachelor,97.53
一般,公立,國立臺北教育大學,D 日,Doctor,100.00
一般,公立,國立臺北教育大學,D 日,Master,93.88
一般,公立,國立臺北教育大學,N 職,Master,93.06
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Bachelor,97.83
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Doctor,100.00
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Master,98.11
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),N 職,Master,92.70
一般,公立,國立臺中教育大學,D 日,Bachelor,93.99
一般,公立,國立臺中教育大學,D 日,Doctor,100.00
一般,公立,國立臺中教育大學,D 日,Master,93.07
一般,公立,國立臺中教育大學,N 職,Master,94.87
技職,公立,國立澎湖科技大學,D 日,4 Bachelor,87.74
技職,公立,國立澎湖科技大學,D 日,Master,90.00
技職,公立,國立澎湖科技大學,N 修,4 Bachelor,93.75
技職,公立,國立澎湖科技大學,N 職,Master,88.00
技職,公立,國立勤益科技大學,D 日,4 Bachelor,98.14
技職,公立,國立勤益科技大學,D 日,2 Bachelor,66.67
技職,公立,國立勤益科技大學,D 日,Doctor,100.00
技職,公立,國立勤益科技大學,D 日,Master,66.99
技職,公立,國立勤益科技大學,N 修,4 Bachelor,96.15
技職,公立,國立勤益科技大學,N 修,2 Bachelor,63.89
技職,公立,國立勤益科技大學,N 職,Master,81.06
技職,公立,國立勤益科技大學,N 修,others,75.12
技職,公立,國立勤益科技大學,N 修,others,69.69
一般,公立,國立體育大學,D 日,Bachelor,96.00
一般,公立,國立體育大學,D 日,Doctor,100.00
一般,公立,國立體育大學,D 日,Master,97.04
一般,公立,國立體育大學,N 職,Master,98.77
一般,公立,國立體育大學,V 職,others,92.00
技職,公立,國立臺北護理健康大學,D 日,4 Bachelor,97.28
技職,公立,國立臺北護理健康大學,D 日,2 Bachelor,95.84
技職,公立,國立臺北護理健康大學,D 日,Doctor,100.00
技職,公立,國立臺北護理健康大學,D 日,Master,98.32
技職,公立,國立臺北護理健康大學,N 修,2 Bachelor,100.00
技職,公立,國立臺北護理健康大學,N 職,Master,94.29
技職,公立,國立高雄餐旅大學,D 日,5 Associate,98.00
技職,公立,國立高雄餐旅大學,D 日,4 Bachelor,99.49
技職,公立,國立高雄餐旅大學,D 日,2 Bachelor,84.00
技職,公立,國立高雄餐旅大學,D 日,Doctor,100.00
技職,公立,國立高雄餐旅大學,D 日,Master,76.14
技職,公立,國立高雄餐旅大學,N 修,4 Bachelor,99.58
技職,公立,國立高雄餐旅大學,N 修,2 Bachelor,91.76
技職,公立,國立高雄餐旅大學,N 職,Master,77.27
一般,公立,國立金門大學,D 日,Bachelor,92.80
一般,公立,國立金門大學,D 日,Master,88.00
一般,公立,國立金門大學,N 職,Master,73.53
一般,公立,國立金門大學,P 進,Bachelor,100.00
一般,公立,國立臺灣體育運動大學,D 日,Bachelor,97.78
一般,公立,國立臺灣體育運動大學,D 日,Master,98.96
一般,公立,國立臺灣體育運動大學,N 職,Master,90.70
一般,公立,國立臺灣體育運動大學,P 進,Bachelor,100.00
技職,公立,國立臺中科技大學,D 日,5 Associate,99.69
技職,公立,國立臺中科技大學,D 日,4 Bachelor,97.57
技職,公立,國立臺中科技大學,D 日,2 Bachelor,96.54
技職,公立,國立臺中科技大學,D 日,Master,94.65
技職,公立,國立臺中科技大學,N 修,2 Associate,73.86
技職,公立,國立臺中科技大學,N 修,4 Bachelor,92.39
技職,公立,國立臺中科技大學,N 修,2 Bachelor,81.19
技職,公立,國立臺中科技大學,N 職,Master,96.47
技職,公立,國立臺中科技大學,N 修,others,76.13
技職,公立,國立臺中科技大學,N 修,others,80.20
技職,公立,國立臺北商業大學,D 日,5 Associate,96.85
技職,公立,國立臺北商業大學,D 日,4 Bachelor,94.59
技職,公立,國立臺北商業大學,D 日,2 Bachelor,99.35
技職,公立,國立臺北商業大學,D 日,Master,100.00
技職,公立,國立臺北商業大學,N 修,4 Bachelor,97.67
技職,公立,國立臺北商業大學,N 修,2 Bachelor,98.26
技職,公立,國立臺北商業大學,N 職,Master,91.67
技職,公立,國立臺北商業大學,N 修,others,99.46
一般,公立,國立屏東大學,D 日,Bachelor,93.91
一般,公立,國立屏東大學,D 日,Doctor,100.00
一般,公立,國立屏東大學,D 日,Master,74.46
一般,公立,國立屏東大學,N 職,Master,86.32
一般,公立,國立屏東大學,P 進,Bachelor,97.67
技職,公立,國立臺灣戲曲學院,D 日,4 Bachelor,100.00
技職,公立,國立臺南護理專科學校,D 日,2 Associate,82.69
技職,公立,國立臺南護理專科學校,D 日,5 Associate,98.31
技職,公立,國立臺南護理專科學校,N 修,2 Associate,91.67
技職,公立,國立臺東專科學校,D 日,2 Associate,77.71
技職,公立,國立臺東專科學校,D 日,5 Associate,71.43
技職,公立,國立臺東專科學校,N 修,2 Associate,45.13
一般,私立,東海大學,D 日,Bachelor,96.17
一般,私立,東海大學,D 日,Doctor,84.62
一般,私立,東海大學,D 日,Master,71.02
一般,私立,東海大學,N 職,Master,71.48
一般,私立,東海大學,P 進,Bachelor,55.32
一般,私立,輔仁大學,D 日,Bachelor,95.88
一般,私立,輔仁大學,D 日,Doctor,83.10
一般,私立,輔仁大學,D 日,Master,86.30
一般,私立,輔仁大學,N 職,Master,90.16
一般,私立,輔仁大學,P 進,Bachelor,99.75
一般,私立,輔仁大學,V 職,others,80.00
一般,私立,東吳大學,D 日,Bachelor,96.85
一般,私立,東吳大學,D 日,Doctor,88.89
一般,私立,東吳大學,D 日,Master,86.21
一般,私立,東吳大學,N 職,Master,87.94
一般,私立,東吳大學,P 進,Bachelor,88.69
一般,私立,中原大學,D 日,Bachelor,97.77
一般,私立,中原大學,D 日,Doctor,82.61
一般,私立,中原大學,D 日,Master,80.27
一般,私立,中原大學,N 職,Master,82.35
一般,私立,淡江大學,D 日,Bachelor,96.73
一般,私立,淡江大學,D 日,Doctor,90.53
一般,私立,淡江大學,D 日,Master,66.12
一般,私立,淡江大學,N 職,Master,67.41
一般,私立,淡江大學,P 進,Bachelor,45.68
一般,私立,淡江大學,V 職,others,86.36
一般,私立,中國文化大學,D 日,Bachelor,93.81
一般,私立,中國文化大學,D 日,Doctor,97.14
一般,私立,中國文化大學,D 日,Master,68.59
一般,私立,中國文化大學,N 職,Master,72.73
一般,私立,中國文化大學,P 進,Bachelor,51.91
一般,私立,中國文化大學,V 職,others,61.67
一般,私立,逢甲大學,D 日,Bachelor,95.53
一般,私立,逢甲大學,D 日,Doctor,93.83
一般,私立,逢甲大學,D 日,Master,86.76
一般,私立,逢甲大學,N 職,Master,89.80
一般,私立,逢甲大學,P 進,Bachelor,99.06
一般,私立,靜宜大學,D 日,Bachelor,96.27
一般,私立,靜宜大學,D 日,Doctor,100.00
一般,私立,靜宜大學,D 日,Master,76.37
一般,私立,靜宜大學,N 職,Master,82.71
一般,私立,長庚大學,D 日,Bachelor,95.91
一般,私立,長庚大學,D 日,Doctor,83.33
一般,私立,長庚大學,D 日,Master,68.71
一般,私立,長庚大學,N 職,Master,40.28
一般,私立,元智大學,D 日,Bachelor,97.32
一般,私立,元智大學,D 日,Doctor,66.67
一般,私立,元智大學,D 日,Master,66.54
一般,私立,元智大學,N 職,Master,54.80
一般,私立,中華大學,D 日,Bachelor,64.36
一般,私立,中華大學,D 日,Doctor,82.35
一般,私立,中華大學,D 日,Master,75.57
一般,私立,中華大學,N 職,Master,77.29
一般,私立,中華大學,P 進,Bachelor,91.00
一般,私立,中華大學,V 職,others,72.69
一般,私立,大葉大學,D 日,Bachelor,85.78
一般,私立,大葉大學,D 日,Doctor,100.00
一般,私立,大葉大學,D 日,Master,74.27
一般,私立,大葉大學,N 職,Master,65.47
一般,私立,大葉大學,P 進,Bachelor,61.28
一般,私立,大葉大學,V 職,others,100.00
一般,私立,華梵大學,D 日,Bachelor,43.84
一般,私立,華梵大學,D 日,Doctor,80.00
一般,私立,華梵大學,D 日,Master,38.89
一般,私立,華梵大學,N 職,Master,37.57
一般,私立,義守大學,D 日,Bachelor,91.77
一般,私立,義守大學,D 日,Doctor,67.65
一般,私立,義守大學,D 日,Master,48.01
一般,私立,義守大學,N 職,Master,58.50
一般,私立,義守大學,P 進,Bachelor,38.74
一般,私立,義守大學,V 職,others,70.28
一般,私立,世新大學,D 日,Bachelor,97.54
一般,私立,世新大學,D 日,Doctor,100.00
一般,私立,世新大學,D 日,Master,65.13
一般,私立,世新大學,N 職,Master,61.96
一般,私立,世新大學,P 進,Bachelor,68.89
一般,私立,世新大學,V 職,others,76.67
一般,私立,銘傳大學,D 日,Bachelor,97.03
一般,私立,銘傳大學,D 日,Doctor,100.00
一般,私立,銘傳大學,D 日,Master,75.34
一般,私立,銘傳大學,N 職,Master,72.71
一般,私立,實踐大學,D 日,Bachelor,92.51
一般,私立,實踐大學,D 日,Doctor,100.00
一般,私立,實踐大學,D 日,Master,75.78
一般,私立,實踐大學,N 職,Master,92.50
一般,私立,實踐大學,P 進,Bachelor,85.14
一般,私立,實踐大學,V 職,others,100.00
技職,私立,朝陽科技大學,D 日,4 Bachelor,95.41
技職,私立,朝陽科技大學,D 日,Doctor,89.47
技職,私立,朝陽科技大學,D 日,Master,71.02
技職,私立,朝陽科技大學,N 修,4 Bachelor,90.86
技職,私立,朝陽科技大學,N 職,Master,63.79
一般,私立,高雄醫學大學,D 日,Bachelor,90.41
一般,私立,高雄醫學大學,D 日,Doctor,90.63
一般,私立,高雄醫學大學,D 日,Master,79.49
一般,私立,高雄醫學大學,N 職,Master,91.60
一般,私立,高雄醫學大學,V 職,others,70.00
一般,私立,南華大學,D 日,Bachelor,80.67
一般,私立,南華大學,D 日,Doctor,100.00
一般,私立,南華大學,D 日,Master,90.11
一般,私立,南華大學,N 職,Master,95.78
一般,私立,南華大學,P 進,Bachelor,100.00
一般,私立,真理大學,D 日,Bachelor,77.94
一般,私立,真理大學,D 日,Master,79.57
一般,私立,真理大學,N 職,Master,45.00
一般,私立,真理大學,P 進,Bachelor,76.14
一般,私立,大同大學,D 日,Bachelor,96.24
一般,私立,大同大學,D 日,Doctor,58.33
一般,私立,大同大學,D 日,Master,62.59
一般,私立,大同大學,N 職,Master,56.47
技職,私立,南臺科技大學,D 日,4 Bachelor,94.08
技職,私立,南臺科技大學,D 日,2 Bachelor,53.13
技職,私立,南臺科技大學,D 日,Doctor,75.00
技職,私立,南臺科技大學,D 日,Master,71.49
技職,私立,南臺科技大學,N 修,4 Bachelor,73.07
技職,私立,南臺科技大學,N 修,2 Bachelor,42.58
技職,私立,南臺科技大學,N 職,Master,57.55
技職,私立,南臺科技大學,V 職,4 Bachelor,40.00
技職,私立,崑山科技大學,D 日,4 Bachelor,80.11
技職,私立,崑山科技大學,D 日,Doctor,100.00
技職,私立,崑山科技大學,D 日,Master,48.12
技職,私立,崑山科技大學,N 修,4 Bachelor,71.98
技職,私立,崑山科技大學,N 修,2 Bachelor,60.84
技職,私立,崑山科技大學,N 職,Master,71.56
技職,私立,崑山科技大學,N 修,others,34.85
技職,私立,崑山科技大學,V 職,4 Bachelor,52.78
技職,私立,嘉南藥理大學,D 日,4 Bachelor,81.28
技職,私立,嘉南藥理大學,D 日,2 Bachelor,40.28
技職,私立,嘉南藥理大學,D 日,Master,66.84
技職,私立,嘉南藥理大學,N 修,4 Bachelor,49.63
技職,私立,嘉南藥理大學,N 修,2 Bachelor,56.09
技職,私立,嘉南藥理大學,N 職,Master,85.40
技職,私立,嘉南藥理大學,N 修,others,33.85
技職,私立,嘉南藥理大學,V 職,4 Bachelor,42.86
技職,私立,樹德科技大學,D 日,4 Bachelor,87.37
技職,私立,樹德科技大學,D 日,Doctor,100.00
技職,私立,樹德科技大學,D 日,Master,64.63
技職,私立,樹德科技大學,N 修,4 Bachelor,71.91
技職,私立,樹德科技大學,N 修,2 Bachelor,95.75
技職,私立,樹德科技大學,N 職,Master,67.89
技職,私立,樹德科技大學,N 修,others,97.42
一般,私立,慈濟大學,D 日,Bachelor,88.37
一般,私立,慈濟大學,D 日,Doctor,92.00
一般,私立,慈濟大學,D 日,Master,70.81
一般,私立,慈濟大學,N 職,Master,33.33
一般,私立,臺北醫學大學,D 日,Bachelor,93.17
一般,私立,臺北醫學大學,D 日,Doctor,96.83
一般,私立,臺北醫學大學,D 日,Master,86.15
一般,私立,臺北醫學大學,N 職,Master,92.31
一般,私立,中山醫學大學,D 日,Bachelor,92.25
一般,私立,中山醫學大學,D 日,Doctor,93.33
一般,私立,中山醫學大學,D 日,Master,78.76
一般,私立,中山醫學大學,N 職,Master,73.42
一般,私立,中山醫學大學,V 職,others,100.00
技職,私立,龍華科技大學,D 日,5 Associate,100.00
技職,私立,龍華科技大學,D 日,4 Bachelor,91.95
技職,私立,龍華科技大學,D 日,Master,84.17
技職,私立,龍華科技大學,N 修,4 Bachelor,99.66
技職,私立,龍華科技大學,N 修,2 Bachelor,100.00
技職,私立,龍華科技大學,N 職,Master,90.00
技職,私立,輔英科技大學,D 日,5 Associate,100.00
技職,私立,輔英科技大學,D 日,4 Bachelor,73.38
技職,私立,輔英科技大學,D 日,2 Bachelor,88.45
技職,私立,輔英科技大學,D 日,Master,100.00
技職,私立,輔英科技大學,N 修,4 Bachelor,86.08
技職,私立,輔英科技大學,N 修,2 Bachelor,92.28
技職,私立,輔英科技大學,N 職,Master,100.00
技職,私立,明新科技大學,D 日,4 Bachelor,89.58
技職,私立,明新科技大學,D 日,Master,72.19
技職,私立,明新科技大學,N 修,2 Associate,63.33
技職,私立,明新科技大學,N 修,4 Bachelor,60.60
技職,私立,明新科技大學,N 修,2 Bachelor,96.67
技職,私立,明新科技大學,N 職,Master,82.65
技職,私立,明新科技大學,N 修,others,91.07
技職,私立,明新科技大學,N 修,others,57.50
一般,私立,長榮大學,D 日,Bachelor,81.25
一般,私立,長榮大學,D 日,Doctor,100.00
