學校類別,設立別,學校名稱,日間/進修,學制別,新生註冊率
一般,公立,國立政治大學,D 日,Bachelor,97.65
一般,公立,國立政治大學,D 日,Doctor,64.37
一般,公立,國立政治大學,D 日,Master,86.59
一般,公立,國立清華大學,D 日,Bachelor,95.41
一般,公立,國立清華大學,D 日,Doctor,59.13
一般,公立,國立清華大學,D 日,Master,86.23
一般,公立,國立臺灣大學,D 日,Bachelor,96.62
一般,公立,國立臺灣大學,D 日,Doctor,60.55
一般,公立,國立臺灣大學,D 日,Master,94.32
一般,公立,國立臺灣師範大學,D 日,Bachelor,98.21
一般,公立,國立臺灣師範大學,D 日,Doctor,74.86
一般,公立,國立臺灣師範大學,D 日,Master,90.24
一般,公立,國立成功大學,D 日,Bachelor,94.94
一般,公立,國立成功大學,D 日,Doctor,64.04
一般,公立,國立成功大學,D 日,Master,90.24
一般,公立,國立中興大學,D 日,Bachelor,95.61
一般,公立,國立中興大學,D 日,Doctor,61.08
一般,公立,國立中興大學,D 日,Master,91.36
一般,公立,國立交通大學,D 日,Bachelor,96.79
一般,公立,國立交通大學,D 日,Doctor,60.61
一般,公立,國立交通大學,D 日,Master,93.59
一般,公立,國立中央大學,D 日,Bachelor,96.99
一般,公立,國立中央大學,D 日,Doctor,59.56
一般,公立,國立中央大學,D 日,Master,84.63
一般,公立,國立中山大學,D 日,Bachelor,94.91
一般,公立,國立中山大學,D 日,Doctor,57.77
一般,公立,國立中山大學,D 日,Master,85.78
一般,公立,國立臺灣海洋大學,D 日,Bachelor,95.81
一般,公立,國立臺灣海洋大學,D 日,Doctor,73.53
一般,公立,國立臺灣海洋大學,D 日,Master,80.11
一般,公立,國立中正大學,D 日,Bachelor,94.08
一般,公立,國立中正大學,D 日,Doctor,66.49
一般,公立,國立中正大學,D 日,Master,76.37
一般,公立,國立高雄師範大學,D 日,Bachelor,93.9
一般,公立,國立高雄師範大學,D 日,Doctor,89.49
一般,公立,國立高雄師範大學,D 日,Master,87.4
一般,公立,國立彰化師範大學,D 日,Bachelor,97.27
一般,公立,國立彰化師範大學,D 日,Doctor,89.29
一般,公立,國立彰化師範大學,D 日,Master,79.33
一般,公立,國立陽明大學,D 日,Bachelor,92.98
一般,公立,國立陽明大學,D 日,Doctor,48.88
一般,公立,國立陽明大學,D 日,Master,84.4
一般,公立,國立臺北大學,D 日,Bachelor,94.98
一般,公立,國立臺北大學,D 日,Doctor,71.83
一般,公立,國立臺北大學,D 日,Master,80.02
一般,公立,國立嘉義大學,D 日,Bachelor,96.25
一般,公立,國立嘉義大學,D 日,Doctor,90.48
一般,公立,國立嘉義大學,D 日,Master,70.76
一般,公立,國立高雄大學,D 日,Bachelor,96.02
一般,公立,國立高雄大學,D 日,Doctor,26.66
一般,公立,國立高雄大學,D 日,Master,80.87
一般,公立,國立東華大學,D 日,Bachelor,95.95
一般,公立,國立東華大學,D 日,Doctor,81.01
一般,公立,國立東華大學,D 日,Master,68.16
一般,公立,國立暨南國際大學,D 日,Bachelor,96.84
一般,公立,國立暨南國際大學,D 日,Doctor,67.98
一般,公立,國立暨南國際大學,D 日,Master,65.45
技職,公立,國立臺灣科技大學,D 日,4 Bachelor,87.95
技職,公立,國立臺灣科技大學,D 日,2 Bachelor,100.0
技職,公立,國立臺灣科技大學,D 日,Doctor,73.9
技職,公立,國立臺灣科技大學,D 日,Master,91.65
技職,公立,國立雲林科技大學,D 日,4 Bachelor,93.51
技職,公立,國立雲林科技大學,D 日,2 Bachelor,82.34
技職,公立,國立雲林科技大學,D 日,Doctor,68.08
技職,公立,國立雲林科技大學,D 日,Master,90.33
技職,公立,國立屏東科技大學,D 日,4 Bachelor,73.43
技職,公立,國立屏東科技大學,D 日,Doctor,74.29
技職,公立,國立屏東科技大學,D 日,Master,68.49
技職,公立,國立臺北科技大學,D 日,4 Bachelor,78.58
技職,公立,國立臺北科技大學,D 日,Doctor,65.45
技職,公立,國立臺北科技大學,D 日,Master,91.61
技職,公立,國立高雄第一科技大學,D 日,4 Bachelor,73.34
技職,公立,國立高雄第一科技大學,D 日,2 Bachelor,98.53
技職,公立,國立高雄第一科技大學,D 日,Doctor,100.0
技職,公立,國立高雄第一科技大學,D 日,Master,82.96
技職,公立,國立高雄應用科技大學,D 日,4 Bachelor,81.43
技職,公立,國立高雄應用科技大學,D 日,2 Bachelor,42.01
技職,公立,國立高雄應用科技大學,D 日,Doctor,84.42
技職,公立,國立高雄應用科技大學,D 日,Master,93.32
一般,公立,國立臺北藝術大學,D 日,Bachelor,98.09
一般,公立,國立臺北藝術大學,D 日,Doctor,80.0
一般,公立,國立臺北藝術大學,D 日,Master,91.55
一般,公立,國立臺灣藝術大學,D 日,Bachelor,98.06
一般,公立,國立臺灣藝術大學,D 日,Doctor,100.0
一般,公立,國立臺灣藝術大學,D 日,Master,96.0
一般,公立,國立臺東大學,D 日,Bachelor,92.9
一般,公立,國立臺東大學,D 日,Doctor,63.34
一般,公立,國立臺東大學,D 日,Master,60.81
一般,公立,國立宜蘭大學,D 日,Bachelor,95.14
一般,公立,國立宜蘭大學,D 日,Doctor,100.0
一般,公立,國立宜蘭大學,D 日,Master,90.31
一般,公立,國立聯合大學,D 日,Bachelor,94.76
一般,公立,國立聯合大學,D 日,Doctor,66.67
一般,公立,國立聯合大學,D 日,Master,79.53
技職,公立,國立虎尾科技大學,D 日,4 Bachelor,68.03
技職,公立,國立虎尾科技大學,D 日,2 Bachelor,72.01
技職,公立,國立虎尾科技大學,D 日,Doctor,28.57
技職,公立,國立虎尾科技大學,D 日,Master,64.69
技職,公立,國立高雄海洋科技大學,D 日,5 Associate,100.0
技職,公立,國立高雄海洋科技大學,D 日,4 Bachelor,90.79
技職,公立,國立高雄海洋科技大學,D 日,2 Bachelor,59.06
技職,公立,國立高雄海洋科技大學,D 日,Doctor,100.0
技職,公立,國立高雄海洋科技大學,D 日,Master,73.27
一般,公立,國立臺南藝術大學,D 日,Bachelor,97.6
一般,公立,國立臺南藝術大學,D 日,Doctor,100.0
一般,公立,國立臺南藝術大學,D 日,Master,82.55
一般,公立,國立臺南大學,D 日,Bachelor,95.13
一般,公立,國立臺南大學,D 日,Doctor,84.45
一般,公立,國立臺南大學,D 日,Master,91.3
一般,公立,國立臺北教育大學,D 日,Bachelor,97.88
一般,公立,國立臺北教育大學,D 日,Doctor,89.58
一般,公立,國立臺北教育大學,D 日,Master,89.58
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Bachelor,96.06
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Doctor,100.0
一般,公立,國立清華大學南大校區(原：國立新竹教育大學),D 日,Master,89.83
一般,公立,國立臺中教育大學,D 日,Bachelor,95.94
一般,公立,國立臺中教育大學,D 日,Doctor,100.0
一般,公立,國立臺中教育大學,D 日,Master,97.56
技職,公立,國立澎湖科技大學,D 日,4 Bachelor,54.42
技職,公立,國立澎湖科技大學,D 日,Master,66.0
技職,公立,國立勤益科技大學,D 日,4 Bachelor,65.42
技職,公立,國立勤益科技大學,D 日,2 Bachelor,77.5
技職,公立,國立勤益科技大學,D 日,Doctor,100.0
技職,公立,國立勤益科技大學,D 日,Master,82.45
一般,公立,國立體育大學,D 日,Bachelor,88.11
一般,公立,國立體育大學,D 日,Doctor,100.0
一般,公立,國立體育大學,D 日,Master,93.11
技職,公立,國立臺北護理健康大學,D 日,4 Bachelor,95.1
技職,公立,國立臺北護理健康大學,D 日,2 Bachelor,78.94
技職,公立,國立臺北護理健康大學,D 日,Doctor,100.0
技職,公立,國立臺北護理健康大學,D 日,Master,97.65
技職,公立,國立高雄餐旅大學,D 日,5 Associate,100.0
技職,公立,國立高雄餐旅大學,D 日,4 Bachelor,84.41
技職,公立,國立高雄餐旅大學,D 日,2 Bachelor,88.0
技職,公立,國立高雄餐旅大學,D 日,Doctor,100.0
技職,公立,國立高雄餐旅大學,D 日,Master,79.4
一般,公立,國立金門大學,D 日,Bachelor,90.3
一般,公立,國立金門大學,D 日,Master,87.19
一般,公立,國立臺灣體育運動大學,D 日,Bachelor,96.06
一般,公立,國立臺灣體育運動大學,D 日,Master,93.06
技職,公立,國立臺中科技大學,D 日,2 Associate,94.0
技職,公立,國立臺中科技大學,D 日,5 Associate,99.44
技職,公立,國立臺中科技大學,D 日,4 Bachelor,67.36
技職,公立,國立臺中科技大學,D 日,2 Bachelor,95.72
技職,公立,國立臺中科技大學,D 日,Master,96.0
技職,公立,國立臺北商業大學,D 日,5 Associate,95.43
技職,公立,國立臺北商業大學,D 日,4 Bachelor,84.6
技職,公立,國立臺北商業大學,D 日,2 Bachelor,99.71
技職,公立,國立臺北商業大學,D 日,Master,88.95
